,VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalesToPurchaseRatio
185,9815,WINE GROUP INC,6349,Glen Ellen Chard RSV,4.63,6.99,1500.0,220604,1021396.52,108728.0,760008.72,200452.23,24422.100000000002,27100.41,-261387.80000000005,-34.39273696754427,0.49286504324490943,0.7440878298665047
186,12546,JIM BEAM BRANDS COMPANY,3351,Pinnacle Whipped Vodka,13.27,16.99,1750.0,76908,1020569.16,37034.0,622183.6599999999,344894.93,68049.84,123880.97,-398385.5000000001,-64.03020934365267,0.48153638113070163,0.6096437991522298
187,3664,WILLIAM GRANT & SONS INC,8021,Glenfiddich Special Rsv 12,31.49,39.99,750.0,32324,1017882.76,13665.0,599208.35,407861.36000000004,10769.62,30234.420000000002,-418674.41000000003,-69.87125763517815,0.4227508971661923,0.5886811070461592
188,9165,ULTRA BEVERAGE COMPANY LLP,3788,Patron Silver Tequila,19.99,27.99,375.0,50656,1012613.44,23649.0,649161.51,391579.94999999995,9281.54,68054.7,-363451.92999999993,-55.987905074655444,0.46685486418193306,0.6410753446053412
189,11567,CAMPARI AMERICA,8107,Wild Turkey 101,26.71,36.99,1750.0,37888,1011988.48,17993.0,638985.0700000001,415198.21,33072.27,20964.81,-373003.4099999999,-58.37435450565377,0.4748997043918919,0.6314153595898642
190,8112,MOET HENNESSY USA INC,2692,Glenmorangie 10 Yr Scotch,26.31,41.99,750.0,38352,1009041.12,18345.0,656647.55,410709.05000000005,14454.37,48347.26,-352393.56999999995,-53.665557725754084,0.4783322903629537,0.6507639153496539
191,1128,BROWN-FORMAN CORP,1237,Jack Daniels Single Barrel,33.83,44.99,750.0,29672,1003803.76,13132.0,599718.68,353123.10000000003,10348.09,68601.68,-404085.07999999996,-67.37910514976787,0.442572121865732,0.5974461382770673
192,480,BACARDI USA INC,3851,Grey Goose Vodka,12.02,15.99,375.0,83364,1002035.28,40226.0,598195.74,259089.09,15803.5,89286.27,-403839.54000000004,-67.50959811248406,0.4825344273307423,0.5969807170861289
193,3664,WILLIAM GRANT & SONS INC,8480,Clan MacGregor,11.19,14.99,1750.0,89516,1001684.04,42540.0,651588.6,261048.57,78165.61,30234.420000000002,-350095.44000000006,-53.72952197137888,0.4752223066267483,0.6504931435265755
194,17035,PERNOD RICARD USA,2645,Chivas Regal,21.89,31.99,750.0,45708,1000548.12,20490.0,639863.1,372977.18,16144.32,123780.22,-360685.02,-56.369092076101914,0.4482803885534261,0.6395125703699288
