,VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalesToPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
19,4425,MARTIGNETTI COMPANIES,24755,Sokol Blosser Evolution Pnt,7.79,21.99,750.0,2136,16639.44,1419.0,19136.81,5611.92,158.84,144929.24,2497.3700000000026,13.050085150032857,0.6643258426966292,1.1500873827484581,7.789999999999999,Large,5585.43
20,653,STATE WINE & SPIRITS,23256,Robert Hall Cab Svgn,9.39,13.99,750.0,1768,16601.52,2511.0,35128.89,13206.56,280.42,8014.9800000000005,18527.37,52.74111991582996,1.4202488687782806,2.116004438147832,9.39,Large,-6976.77
21,1128,BROWN-FORMAN CORP,1722,Jack Daniels Sinatra Century,351.55,449.99,1000.0,44,15468.2,52.0,23399.48,21149.53,54.6,68601.68,7931.279999999999,33.895112199074504,1.1818181818181819,1.5127474431414125,351.55,Medium,-2812.4
22,3960,DIAGEO NORTH AMERICA INC,3757,Ketel One 325 Commemorative,21.63,28.99,1000.0,664,14362.32,735.0,21307.649999999998,10755.289999999999,771.75,257032.07,6945.329999999998,32.59547627260631,1.1069277108433735,1.483579950871447,21.63,Large,-1535.73
23,4425,MARTIGNETTI COMPANIES,46485,Shafer Merlot Napa,35.94,54.99,750.0,380,13657.199999999999,366.0,20492.34,11533.94,40.57,144929.24,6835.140000000001,33.35460957606599,0.9631578947368421,1.5004788682892543,35.94,Large,503.15999999999997
24,17035,PERNOD RICARD USA,1013,Kahlua Pumpkin Spice Liqueur,10.29,13.99,750.0,1324,13623.960000000001,931.0,15069.69,6540.19,733.53,123780.22,1445.7299999999996,9.593628004292055,0.7031722054380665,1.106116723771943,10.290000000000001,Large,4043.97
25,480,BACARDI USA INC,2679,Dewars Highlander Honey,14.28,22.99,750.0,904,12909.12,2635.0,52413.649999999994,34815.619999999995,2077.26,89286.27,39504.52999999999,75.37069065024092,2.9148230088495577,4.060203174190029,14.280000000000001,Large,-24718.68
26,9165,ULTRA BEVERAGE COMPANY LLP,24429,Baracchi O'Lillo,8.1,11.99,750.0,1500,12150.0,2102.0,25202.98,11690.25,234.25,68054.7,13052.98,51.791415142177634,1.4013333333333333,2.074319341563786,8.1,Large,-4876.2
27,90032,LABELLE VYDS AND WINERY,22566,LaBelle Winery 2013 Dry Rsl,9.14,13.99,750.0,1324,12101.36,926.0,12954.74,9611.130000000001,102.27,778.25,853.3799999999992,6.587395810336597,0.6993957703927492,1.0705193465858382,9.14,Large,3637.7200000000003
28,4425,MARTIGNETTI COMPANIES,21277,Nicholson Ranch Chard Son Ct,13.79,19.99,750.0,852,11749.08,1705.0,33593.95,16229.769999999999,189.83,144929.24,21844.869999999995,65.02620263470058,2.001173708920188,2.8592834502786597,13.79,Large,-11762.869999999999
29,9165,ULTRA BEVERAGE COMPANY LLP,2874,Hirsch 20 Yr American Whisky,51.46,69.99,750.0,228,11732.88,577.0,29344.23,8008.49,454.52,68054.7,17611.35,60.01639845380164,2.530701754385965,2.5010253237056888,51.459999999999994,Large,-17959.54
30,1703,ALISA CARR BEVERAGES,90013,Ch Leoville Barton 12 St Jul,64.93,99.99,750.0,180,11687.4,126.0,12598.74,3999.6,14.100000000000001,172.0,911.3400000000001,7.233580500907235,0.7,1.0779762821500076,64.92999999999999,Large,3506.2200000000003
31,4425,MARTIGNETTI COMPANIES,23074,Madrigal Cab Svgn,13.69,19.99,750.0,840,11499.6,962.0,19229.88,6576.209999999999,107.56,144929.24,7730.280000000001,40.199314816317106,1.1452380952380952,1.6722216424919127,13.690000000000001,Large,-1670.1799999999998
32,17035,PERNOD RICARD USA,3811,Absolut Spark Vodka,12.68,16.99,750.0,880,11158.4,1724.0,30664.76,16595.699999999997,1358.41,123780.22,19506.36,63.6116506374092,1.959090909090909,2.748132348723831,12.68,Large,-10701.92
33,653,STATE WINE & SPIRITS,9118,Caffo Sambuca Secolare,10.35,16.99,750.0,1064,11012.4,903.0,13421.97,8184.04,711.63,8014.9800000000005,2409.5699999999997,17.95243172201994,0.8486842105263158,1.2188051650866296,10.35,Large,1666.35
34,1128,BROWN-FORMAN CORP,2131,Jack Daniels No 7 Black Trav,10.15,12.99,375.0,1044,10596.6,4614.0,59935.86,35709.51,1810.81,68601.68,49339.26,82.32010018710001,4.419540229885057,5.656140648887379,10.15,Large,-36235.5
35,9552,M S WALKER INC,32592,Mionetto Frizzante Prosecco,11.56,16.99,750.0,916,10588.96,724.0,13670.759999999998,9316.07,80.11,55551.82,3081.7999999999993,22.543004192890518,0.7903930131004366,1.2910389688883517,11.559999999999999,Large,2219.52
36,4425,MARTIGNETTI COMPANIES,18097,Shafer Relentless Syrah,55.17,79.99,750.0,188,10371.96,190.0,16338.099999999999,6793.21,21.17,144929.24,5966.139999999999,36.516730831614446,1.0106382978723405,1.5752181844125894,55.169999999999995,Large,-110.34
37,388,ATLANTIC IMPORTING COMPANY,2119,Glendalough 13 Yr Sngle Malt,66.4,89.99,750.0,156,10358.4,125.0,10688.75,7519.12,98.59,211.74,330.35000000000036,3.0906326745409927,0.8012820512820513,1.0318919910410875,66.39999999999999,Large,2058.4
38,3960,DIAGEO NORTH AMERICA INC,3517,Smirnoff Sorbet Mango/Pasion,6.83,10.99,750.0,1516,10354.28,1624.0,15527.26,7839.820000000001,1279.63,257032.07,5172.98,33.31547227263535,1.071240105540897,1.4995982337738596,6.83,Large,-737.64
39,7153,PINE STATE TRADING CO,4760,Kinky Flame Whisky,13.17,17.99,750.0,764,10061.88,624.0,11070.759999999998,6531.329999999999,491.99,15884.82,1008.8799999999992,9.113014824637146,0.8167539267015707,1.1002675444350358,13.169999999999998,Large,1843.8
40,1703,ALISA CARR BEVERAGES,90089,Ch Lynch Bages 12 Pauillac,77.92,119.99,750.0,128,9973.76,172.0,20638.28,5999.5,19.26,172.0,10664.519999999999,51.67349217085919,1.34375,2.0692577322895276,77.92,Large,-3428.48
41,9165,ULTRA BEVERAGE COMPANY LLP,15575,Monte Faliesi Falanghina,5.88,8.99,750.0,1692,9948.960000000001,1871.0,16820.29,8990.0,207.9,68054.7,6871.33,40.85143597405276,1.1057919621749408,1.690658119039578,5.880000000000001,Large,-1052.52
42,4425,MARTIGNETTI COMPANIES,2262,Black Button Citrus Gin,21.2,35.99,750.0,448,9497.6,348.0,10028.52,6861.639999999999,274.39,144929.24,530.9200000000001,5.2941012233111175,0.7767857142857143,1.055900438005391,21.2,Large,2120.0
43,480,BACARDI USA INC,3199,Grey Goose La Poire Vodka,34.3,46.99,1750.0,276,9466.8,278.0,13063.220000000001,8223.25,511.05,89286.27,3596.420000000002,27.530884422064407,1.0072463768115942,1.3798981704483038,34.3,Large,-68.6
